date|text|time
25 Jul 2017|Bajaj Auto on slow lane: Poor domestic sales, tough competition weigh heavy|2.23 pm
25 Jul 2017|Buy Bajaj Auto, UPL; sell NIIT Technologies: Gaurav Bissa|12.06 pm
24 Jul 2017|Buy Bajaj Auto; target of Rs 3281: Motilal Oswal|4.52 pm
24 Jul 2017|Buy Bajaj Auto; target of Rs 3296: HDFC Securities|1.26 pm
24 Jul 2017|Bajaj Auto plans to add Thailand to its export market list|8.56 am
22 Jul 2017|Bajaj set sights on acquisition, MV Agusta launches Brutale 800|11.41 am
21 Jul 2017|Bajaj aims to expand market share to 26%, launch products under all 7 brands by Dec|3.57 pm
21 Jul 2017|Bajaj plans launch of electric 3-wheeler next yr, 2 years ahead of its original date|1.56 pm
21 Jul 2017|Rajiv Bajaj gets candid on Qute: Competition stooped to levels we never anticipated|1.35 pm
20 Jul 2017|Bajaj says close to finalising an alliance; markets speculate it could be Ducati|6.56 pm
20 Jul 2017|Here are SP Tulsian's top trading ideas|3.34 pm
20 Jul 2017|Keep Bajaj Auto in your portfolio: Vijay Chopra|3.03 pm
20 Jul 2017|Bajaj Auto Q1 profit falls 6% to Rs 924 cr, revenue beats estimates|12.38 pm
19 Jul 2017|Bajaj Auto Q1 profit seen down 7% to Rs 910 cr; revenue may fall too|5.41 pm
18 Jul 2017|Bajaj Auto Q1 PAT may dip 13% YoY to Rs 905.3 cr: KR Choksey|6.01 pm
18 Jul 2017|Buy Bajaj Auto, Cipla, DLF; sell Tata Communications, Amara Raja: Sudarshan Sukhani|10.09 am
11 Jul 2017|Bajaj Auto Q1 PAT may dip 4.9% YoY to Rs 930.9 cr: Edelweiss|6.27 pm
06 Jul 2017|KTM cuts prices by up to Rs 8,600 to pass on GST benefit|4.43 pm
04 Jul 2017|GST impact: Deutsche Bank expects tepid month for 2-wheelers, retains buy on Eicher|11.25 am
03 Jul 2017|Honda readies to take the fight to Royal Enfield, undecided on challenger yet|4.25 pm
03 Jul 2017|Cautiously optimistic on exports; domestic sales to recover by September: Bajaj Auto|12.30 pm
03 Jul 2017|Bajaj Auto sales slide 23% to 2,44,878|12.19 pm
03 Jul 2017|Bajaj Auto sells 2.44 lakh units in June 2017|9.32 am
30 Jun 2017|Bajaj launches Pulsar NS160 priced at Rs 80,648|1.19 pm
22 Jun 2017|Honda set to slash prices for Activa & Unicorn by 3-5% after July 1|11.28 am
15 Jun 2017|GST impact: Royal Enfield follows Bajaj Auto, cuts bike prices|5.19 pm
 14 Jun 2017|GST impact: Bajaj Auto cuts bike prices by upto Rs 4,500|7.18 pm
13 Jun 2017|Sell Bajaj Auto, Andhra Bank; buy BASF India, HSIL, Persistent: Mitessh Thakkar|10.03 am
02 Jun 2017|FY18 exports will be better than last year: Bajaj Auto|11.07 am
02 Jun 2017|Bajaj Auto May sales disappoint, fall 10% to 3.14 lakh units|10.17 am
02 Jun 2017|Bajaj Auto's auto sales for May 2017|9.10 am
25 May 2017|Sell Bajaj Auto, Dabur, Granules India, PVR; buy Voltas: Mitessh Thakkar|10.14 am
24 May 2017|Buy Bajaj Auto; target of Rs 3400: HDFC Securities|6.07 pm
23 May 2017|Hold Bajaj Auto; target of Rs 2904: Edelweiss|5.22 pm
23 May 2017|Hold Bajaj Auto; target of Rs 3000: ICICI Direct|5.15 pm
22 May 2017|Buy Bajaj Auto; target of Rs 3422: Motilal Oswal|5.18 pm
18 May 2017|Product mix getting better; expect 20% operating EBITDA in FY18: Bajaj Auto|4.54 pm
18 May 2017|Bajaj Auto recommends dividend|2.35 pm
18 May 2017|Bajaj Auto Q4 net profit falls 13.45% to Rs 862 cr on poor exports, BS-3 ruling|2.30 pm
18 May 2017|Bajaj Auto Q4 net may fall 15% to Rs 810 crore, volumes could fall: Poll|12.12 pm
18 May 2017|General insurance to grow in 15-18% & Life on new biz at 20-25%: Bajaj Finserv|11.08 am
15 May 2017|Electrification of 3-wheelers a meaningful area to work on: Rajiv Bajaj|3.40 pm
12 May 2017|Buy Bajaj Auto, Sun TV Network: Hemant Thukral|10.36 am
12 May 2017|Buy Bajaj Auto, Bharti Infratel, Adani Transmission; sell IGL, Oil India: Mitessh Thakkar|9.25 am
11 May 2017|Buy Bajaj Auto, Bharti Infratel: Mitessh Thakkar|2.40 pm
11 May 2017|Buy Bajaj Auto, Havells, M&M, HDFC Bk, CG Power; sell Jubilant Food: Sukhani|10.57 am
03 May 2017|Honda unseats Bajaj as No2 bikes-maker; moves closer to Hero|6.59 pm
03 May 2017|Honda now sells more motorcycles than Bajaj in India, claims second spot|6.20 pm
03 May 2017|Cautiously optimistic on exports; LatAm mkt stable, Philippines doing well: Bajaj Auto|12.06 pm
03 May 2017|Bajaj Auto sales dip 0.3% on weak domestic performance; exports jump 46%|10.00 am
24 Apr 2017|Bajaj Auto can climb to Rs 2880, City Union Bank Rs 155: Prakash Gaba|2.46 pm
20 Apr 2017|BS-III models: Bajaj's Punjab sub-dealers on strike for 3rd day|10.35 pm
19 Apr 2017|Bajaj Auto plans assembly line in Malaysia through JV with Modena|12.11 pm
17 Apr 2017|Bajaj Auto's board meeting on May 18, 2017|3.44 pm
17 Apr 2017|Bajaj Auto's board meeting on May 18, 2017|3.44 pm
17 Apr 2017|3 hot stock picks from Reliance Securities|1.54 pm
15 Apr 2017|Bajaj Auto Q4 PAT may dip 0.4% to Rs 920.6 cr: ICICI Securities|4.52 pm
10 Apr 2017|Buy Bajaj Auto, TVS Motor on dips; IOC may test Rs 440: Ashwani Gujral|10.59 am
06 Apr 2017|The women behind Bajaj Auto's wheels|10.01 pm
06 Apr 2017|Morgan Stanley upgrades Bajaj Auto to overweight, raises target post correction|11.44 am
06 Apr 2017|Buy HDFC around Rs 1400; prefer Can Fin Homes over Canara Bank: Gujral|9.49 am
04 Apr 2017|Royal Enfield draws flak from Tweeple for selling ‘Made in Pakistan’ jackets|1.51 pm
03 Apr 2017|M&M chief Pawan Goenka urges SC to allow industry to sell BS III inventory|6.09 pm
03 Apr 2017|BS-III ban to shave Rs 600 cr off two-wheeler makers margins|5.05 pm
03 Apr 2017|Bajaj Auto sales down 11% in March|11.42 am
03 Apr 2017|Domestic demand for 2-wheeler in April may dip but upbeat on exports: Bajaj Auto|11.39 am
03 Apr 2017|Bajaj Auto sells 2.72 lakh units in March 2017|9.38 am
29 Mar 2017|Exit of BS-III vehicles: Industry experts discuss the way forward|6.25 pm
29 Mar 2017|With back to the wall, autocos plan to export unsold BS-III stock|5.24 pm
27 Mar 2017|Decision to end alliance with Kawasaki won't impact biz: Bajaj Auto|8.10 pm
27 Mar 2017|Govt bats for sales of BS-III vehicles after April 1, SC to hear case tomorrow|11.43 am
25 Mar 2017|Kawasaki & Bajaj call it quits over their 7-year tie-up|12.54 pm
24 Mar 2017|Here are Deven Choksey's top trading ideas|11.50 am
20 Mar 2017|Bull's Eye: Buy Bajaj Auto, Havells, Apollo Tyres, IGL, GMDC, UPL|7.55 am
16 Mar 2017|Buy Bajaj Auto, can climb to Rs 3000: Prakash Gaba|3.41 pm
15 Mar 2017|Bajaj Auto to replicate Dominar success, lines up more high-powered bikes|2.09 pm
15 Mar 2017|Rajiv Bajaj on demonetisation and why 100cc bikes don't have a future|2.05 pm
15 Mar 2017|Bajaj keen to do a Tesla in India before 2020|2.01 pm
08 Mar 2017|Auto body accuses green watchdog of spreading misinformation|4.24 pm
08 Mar 2017|Bull's Eye: Buy Bajaj Auto, HPCL, Wockhardt, Adani Port;sell PNB|7.54 am
06 Mar 2017|Buy Bajaj Auto, REC, Reliance Industrial Infra: Mitessh Thakkar|1.55 pm
03 Mar 2017|Bajaj Auto seeks SC's intervention on emission norms issue|8.39 pm
03 Mar 2017|Buy Hero Moto, HUL; sell Shriram Transport: Chandan Taparia|10.28 am
03 Mar 2017|Bull's Eye: Buy Bajaj Auto, SCI, PNB, Escorts, Reliance Capital|7.53 am
02 Mar 2017|Buy Bajaj Auto, sell Aurobindo Pharma: Mitessh Thakkar|3.26 pm
02 Mar 2017|Bajaj Auto sales up marginally in February|1.18 pm
02 Mar 2017|Buy Jubilant Foodworks, says Mitessh Thakkar|11.26 am
02 Mar 2017|BHEL may test Rs 190, buy Bajaj Auto closer to Rs 2500: Gujral|11.25 am
02 Mar 2017|Green tribunal knocks on SIAM door, seeks response to BS-IV spat|10.42 am
02 Mar 2017|Note ban pain not over; base effect lifted exports: Bajaj Auto|10.42 am
28 Feb 2017|Tulsian tells: How GST will impact the unorganised sector|8.38 pm
28 Feb 2017|Below Rs 3160, Hero MotoCorp may test Rs 3080: Mitessh Thakkar|4.27 pm
28 Feb 2017|Buy Sintex Industries, sell Bajaj Auto: Mitessh Thakkar|3.14 pm
28 Feb 2017|Launches to drive Feb PV sales; 2-wheelers may be strained: MOSt|10.00 am
27 Feb 2017|Vespa maker to focus on scooters, not motorcycles, for now|12.45 pm
27 Feb 2017|Bull's Eye: Buy Bajaj Auto, PNB, Ceat, Adani Power, Sun TV|7.51 am
23 Feb 2017|Buy DCB Bank, Cadila Health, IndusInd Bk, Grasim: Gujral|2.41 pm
23 Feb 2017|KTM Duke 200 and 390 launch: How 2017 models stack up|1.35 pm
20 Feb 2017|Industry has missed opportunity on emission norms: Rajiv Bajaj|5.30 pm
20 Feb 2017|Our suppliers lost over 2200 jobs due to cash ban: Rajiv Bajaj|3.49 pm
16 Feb 2017|Daimler India joins Bajaj Auto to smoke out BS-III vehicles|5.57 pm
16 Feb 2017|Don't blame execution if idea itself is wrong: Bajaj|4.30 pm
15 Feb 2017|BS-IV norms delay will be a cost disadvantage for us: Bajaj Auto|6.39 pm
15 Feb 2017|BS-IV norms must be met, amnesty not fair: Rajiv Bajaj|6.29 pm
13 Feb 2017|Buy Adani Ports, Bajaj Auto, United Spirits: Ashwani Gujral|9.26 am
10 Feb 2017|Get ready to vroom on these 250cc-300cc bikes soon|4.54 pm
10 Feb 2017|Like Bajaj Auto, Infosys: Prakash Gaba|2.30 pm
07 Feb 2017|Industry frets but Rajiv Bajaj says BS-IV deadline 'no big deal'|9.49 am
03 Feb 2017|Hold Bajaj Auto; target of Rs 3000: ICICI Direct|1.25 pm
03 Feb 2017|Buy IFCI 30 Call, sell 35 Call: Krish Subramanyam|1.11 pm
02 Feb 2017|Motown nixes 'demon' effect, big auto cos in top gear (Analysis)|4.11 pm
02 Feb 2017|Buy Bajaj Auto; target of Rs 3400: HDFC Securities|3.33 pm
02 Feb 2017|Bajaj Auto expects demonetisation woes to play out in Q4 as well|2.03 pm
02 Feb 2017|Top buzzing midcap stocks to trade on February 2|12.44 pm
02 Feb 2017|Bajaj Auto sales down 18% in January|11.30 am
01 Feb 2017|Buy Bajaj Auto; target of Rs 3200: Karvy|5.21 pm
01 Feb 2017|Accumulate Bajaj Auto; target of Rs 3029: KR Choksey|4.59 pm
01 Feb 2017|Buy Bajaj Auto; target of Rs 3432: Motilal Oswal|11.20 am
01 Feb 2017|Buy, sell, hold: 5 stocks analysts are watching out today|8.22 am
31 Jan 2017|Invest in Bajaj Auto, says Sharmila Joshi|3.27 pm
31 Jan 2017|Bajaj Auto is confident of going back to 20% margins by Q4-end|2.05 pm
31 Jan 2017|Bajaj Auto Q3 profit dips 5% to Rs 925 cr but ahead of estimates|1.09 pm
31 Jan 2017|Here are a few stock ideas from Rajen Shah|10.52 am
30 Jan 2017|Here is why SP Tulsian feels ICICI Bank is for brave traders|9.43 pm
30 Jan 2017|Bajaj Auto Q3 profit seen down 1.5% on demonetisation impact|5.02 pm
25 Jan 2017|Sell Bank Nifty 19100 Put; see momentun in Petronet: Amit Gupta|12.04 pm
24 Jan 2017|Buy Bajaj Auto, IndusInd Bank: Mitessh Thakkar|3.13 pm
24 Jan 2017|Buy Mastek, Bajaj Auto, Indian Bank: Ashwani Gujral|2.59 pm
24 Jan 2017|Yamaha to unwrap FZ250 today, take on Bajaj, KTM and Honda|9.42 am
23 Jan 2017|Bajaj drives into Indonesia again,this time pillion-riding KTM|7.38 am
20 Jan 2017|Better bikes, not Budget sops key to leadership: Rajiv Bajaj|11.58 am
19 Jan 2017|Bajaj plans to take collaboration with KTM to greater heights|4.01 pm
19 Jan 2017|Buy Bajaj Auto, V-Guard, Hindustan Copper: Rajat Bose|2.28 pm
19 Jan 2017|Buy, sell, hold: 15 stocks to watch out for your portfolio|8.51 am
17 Jan 2017|Buy SRF, Punjab National Bank, Bajaj Auto: Ashwani Gujral|11.36 am
17 Jan 2017|Buy, sell, hold: 4 key largecap stocks to watch out today|9.00 am
16 Jan 2017|Bajaj Auto Q3 PAT may dip 24.3% to Rs 849.8 cr: Motilal Oswal|3.51 pm
12 Jan 2017|Bajaj Auto’s Q3 PAT may dip 36.7% to Rs 760.3 cr: KR Choksey|1.26 pm
10 Jan 2017|Go long in Bajaj Auto, short Nifty: Amit Gupta|10.46 am
06 Jan 2017|Workers union raising unwarranted demands: Bajaj Auto|6.58 pm
05 Jan 2017|Buy Mindtree, Bajaj Auto; sell Indiabulls Housing, PNB: Gujral|8.59 am
04 Jan 2017|Despite 24% fall in Dec, Honda closes 2016 with highest sales|8.56 pm
04 Jan 2017|Buy, sell, hold: 18 stocks that analysts are watching out|8.12 am
03 Jan 2017|Two-wheeler sales continue to suffer post demonetisation|3.38 pm
03 Jan 2017|Here are a few stock ideas from Prakash Diwan|9.51 am
02 Jan 2017|Here is why Tulsian bets on cement stocks|6.06 pm
02 Jan 2017|Buy Tata Motors for long term, says Sudip Bandopadhyay|4.15 pm
02 Jan 2017|Hero to benefit from rural recovery first; like Maruti: LKP Sec|1.46 pm
02 Jan 2017|Buy Eicher Motors, ACC; sell Bajaj Auto: Mitesh Thacker|11.44 am
02 Jan 2017|Buy Bajaj Auto; prefer Eicher Motors, Maruti: Ashwani Gujral|11.16 am
02 Jan 2017|Rural demand down 20%; no respite visible yet: Bajaj Auto|10.56 am
02 Jan 2017|Bajaj Auto Dec sales fall 22% to 2.25 lk units, exports down 27%|9.42 am
02 Jan 2017|Bajaj Auto sells 2.25 lakh units in December 2016|9.31 am
02 Jan 2017|Buy Infosys, NTPC, Siemens; sell Bajaj Auto: Sudarshan Sukhani|9.15 am
30 Dec 2016|Bajaj Auto's Q3 results on January 31, 2017|3.20 pm
27 Dec 2016|Hero Moto plans Karizma phase-out by 2018 as sales dwindle|2.17 pm
26 Dec 2016|Bajaj Auto can test Rs 2650, SpiceJet can slip to Rs 56: Gaba|3.11 pm
21 Dec 2016|Bajaj Auto to hike price by up to Rs 1,500 from January|5.24 pm
20 Dec 2016|Sell Bajaj Auto, Maruti Suzuki; buy Tata Motors: Ashwani Gujral|10.48 am
16 Dec 2016|Buy, sell, hold: 7 stocks that you can watch out today|9.50 am
15 Dec 2016|Dominar price logical; may not impact Enfield volumes: Bajaj|4.48 pm
15 Dec 2016|Sell Sun Pharma, IOC; buy Cholamandalam Investment: Gujral|2.49 pm
15 Dec 2016|Sell Sun Pharma, Apollo Hospitals looks weak: Rajat Bose|2.48 pm
15 Dec 2016|Bajaj Auto launches Dominar 400 priced up to Rs 1.5 lakh|2.26 pm
14 Dec 2016|Bajaj Dominar set to pocket some of Royal Enfield's market share|10.06 pm
14 Dec 2016|Here's why Tulsian is positive on sugar, non-index stocks|8.48 pm
13 Dec 2016|Six in Sixty: Stocks you should keep on your radar |3.13 pm
08 Dec 2016|Buy Engineers India, Bharat Forge, Vedanta, Biocon, IGL: Gujral|9.49 am
07 Dec 2016|Buy Eicher Motors, Adani Ports, HDFC, Hero Moto: Ashwani Gujral|2.24 pm
05 Dec 2016|Prefer Asian Paints, Maruti, Bajaj Auto, Tata Global: IIFL|4.01 pm
05 Dec 2016|Buy Adani Ports, Tata Elxsi; sell Tata Steel: Ashwani Gujral|11.14 am
03 Dec 2016|See upside in Eicher Motors, says Ashwani Gujral|10.37 am
02 Dec 2016|COMMENT: Visible signs of green shoots in auto sales|6.52 pm
02 Dec 2016|Dec auto sales key post demonetisation, experts pick best stocks|2.38 pm
02 Dec 2016|Bajaj Auto November sales decline 13%|11.26 am
02 Dec 2016|Tough to guide on sales volumes; market share intact: Bajaj Auto|10.52 am
01 Dec 2016|Buy IGL, Engineers India, HDFC: Ashwani Gujral|11.25 am
01 Dec 2016|Bajaj Auto names its 400 cc motorcycle as 'Dominar 400'|9.12 am
30 Nov 2016|Demonetisation, post festive slack demand may hit Nov auto sales|5.41 pm
25 Nov 2016|Here are Deven Choksey's top trading ideas|10.16 am
23 Nov 2016|Here are some top trading tips from SP Tulsian|9.22 am
22 Nov 2016|Ajanta Pharma can climb to Rs 1810, Bajaj Auto Rs 2640: Gaba|3.14 pm
22 Nov 2016|Buy Bajaj Auto; sell SBI, Apollo Tyres: Rajat Bose|2.28 pm
22 Nov 2016|See a decline of 25% YoY in November sales: Bajaj Auto|10.02 am
19 Nov 2016|Check out: How demonetisation impacts various sectors|6.04 pm
17 Nov 2016|Buy Yes Bank, Vedanta: Sudarshan Sukhani|1.20 pm
17 Nov 2016|Sell TVS Motor, Bajaj Auto; buy Indraprastha Gas: Ashwani Gujral|12.02 pm
16 Nov 2016|Hold Bajaj Auto; target of Rs 3000: Centrum|11.20 am
11 Nov 2016|Sell Bajaj Auto, HDFC, Pidilite; buy HDFC Bank, SBI: Thacker|10.03 am
09 Nov 2016|Buy Asian Paints, SBI, Maruti Suzuki: Ashwani Gujral|11.21 am
09 Nov 2016|Sell Tata Steel, CESC: Sudarshan Sukhani|9.37 am
08 Nov 2016|Hold Bajaj Auto; target of Rs 2984: Axis Direct|5.39 pm
08 Nov 2016|Buy Bajaj Auto, Century Textiles; sell Britannia: Sukhani|12.13 pm
08 Nov 2016|Bajaj Auto may test Rs 2889; sell ITC: Rajat Bose|10.59 am
08 Nov 2016|Buy Engineers India, Bajaj Auto, Asian Paints: Ashwani Gujral|10.18 am
07 Nov 2016|Accumulate Bajaj Auto; target of Rs 3185: KR Choksey|3.00 pm
07 Nov 2016|Buy Bajaj Auto; target of Rs 2900: Religare|1.54 pm
03 Nov 2016|Buy Bajaj Auto; target of Rs 3300: ICICI Direct|1.56 pm
02 Nov 2016|Positive on auto ancillary space, says Varun Goel|4.14 pm
02 Nov 2016|Bajaj Auto eyeing 24 lakh domestic volumes by FY17 end|11.29 am
02 Nov 2016|Buy, sell, hold: 5 largecap stocks analysts are watching out|8.50 am
01 Nov 2016|Buy, sell, hold: Investing calls on 12 stocks post results|9.36 am
29 Oct 2016|Bajaj Holdings Q2 net rises 23% at Rs 698 crore|2.30 pm
28 Oct 2016|Export slump to end in Q2; plan to enter new mkts: Bajaj Auto|5.17 pm
28 Oct 2016|Mkt was expecting Bajaj Auto's profits to jump 10-12%: Expert|1.55 pm
28 Oct 2016|Bajaj Auto Q2 profit rises 7% to Rs 1122cr on other income boost|1.17 pm
28 Oct 2016|Here are some top trading tips from Deven Choksey|10.54 am
27 Oct 2016|Bajaj Auto Q2 profit seen up 9%, weak volume may impact revenue|6.12 pm
27 Oct 2016|Sell Bharti Infratel, Bajaj Auto; buy Dishman Pharma: Wagle|3.17 pm
