date|text|time
20 Sep 2017|Thyssenkrupp, Tata Steel merger should not happen at any price - German minister|4.13 pm
20 Sep 2017|Britain calls for job reassurance in Thyssenkrupp, Tata deal|2.48 pm
20 Sep 2017|Tata Steel, Thyssenkrupp sign memorandum of understanding|10.49 am
20 Sep 2017|Tata Steel, thyssenkrupp AG sign MoU for their European steel assets|10.13 am
20 Sep 2017|Cabinet approves 78 days productivity-linked bonus for rail employees|7.33 am
14 Sep 2017|European business merger talks continue with Thyssenkrupp, says Tata Steel|2.35 pm
13 Sep 2017|Buy Tata Steel; target of Rs 720: Edelweiss|4.58 pm
12 Sep 2017|Tata Steel jumps 3% after it severs link with British Steel Pension Scheme|11.07 am
12 Sep 2017|Good news period coming to an end for Tata Steel; Thyssenkrupp deal positive: Expert|11.05 am
12 Sep 2017|Tata Steel UK and Thyssenkrupp merger likely by September end: Report|10.37 am
08 Sep 2017|Shareholders urge Thyssenkrupp to get on with Tata Steel deal|7.05 pm
08 Sep 2017|Buy Tata Steel, Indraprastha Gas: Sandeep Wagle|11.28 am
24 Aug 2017|Buy Tata Steel, Godrej Consumer Products, IndusInd Bank: Ashwani Gujral|2.48 pm
23 Aug 2017|Expect Kalinganagar phase 2 to reach capacity of 5mt: Tata Steel|5.12 pm
22 Aug 2017|Buy Tata Steel; target of Rs 690: Axis Direct|4.33 pm
14 Aug 2017|Buy Tata Steel, Jubilant Foodworks, India Cements, BEML: Ashwani Gujral|2.59 pm
14 Aug 2017|Buy Tata Steel, Titan Company, M&M Financial Services: Sudarshan Sukhani|12.43 pm
10 Aug 2017|Thyssenkrupp won't rush into Tata Steel merger: CFO|1.16 pm
09 Aug 2017|Tata Steel: Outcome of AGM|8.13 am
08 Aug 2017|Higher volumes at Indian ops & strong European biz to drive Tata Steel|6.52 pm
08 Aug 2017|N Chandrasekaran defends Corus acquisition, says it was a sound business decision|5.28 pm
08 Aug 2017|Here are SP Tulsian's top trading ideas|4.51 pm
08 Aug 2017|Tata Steel gains 4% as analysts retain positive view post Q1 EBITDA beats estimates|3.02 pm
08 Aug 2017|Expect to see 5-10% upside in Tata Steel: Kotak Securities|10.12 am
07 Aug 2017|Tata Steel: Outcome of board meeting|11.15 pm
07 Aug 2017|Tata Steel's appoints Saurabh Agrawal as director|10.59 pm
07 Aug 2017|Tata Steel Q1 profit jumps over 4-fold on strong India, Europe biz; SEA disappoints|5.36 pm
07 Aug 2017|Buy Century Textiles, HCL Tech, Jet Airways; sell Berger Paints, Sun TV: Mitessh Thakkar|10.28 am
05 Aug 2017|Tata Steel may post Q1 profit at Rs 1,100 cr, operating income seen up 30%|5.47 pm
01 Aug 2017|Tata Steel completes sale of Submerged Arc Weld in UK|10.19 pm
01 Aug 2017|Tata Steel completes sale of its Hartlepool SAW pipe mills|3.23 pm
15 Jul 2017|Tata Steel's hunt for student innovators gets highest-ever proposals in 2017|10.44 am
14 Jul 2017|Showing plenty of mettle, Tata Steel still has a lot of value|5.59 pm
12 Jul 2017|Wondering which stock will outperform in Q1? Morgan Stanley lists out 4 stocks which could double PAT|2.11 pm
12 Jul 2017|Tata Steel offloads its 50% holding in Tata Elastron|11.01 am
12 Jul 2017|Tata Steel divests entire stake in JV company|8.07 am
11 Jul 2017|Tata Steel to sell SAW mills in UK to Liberty House Group|8.04 pm
11 Jul 2017|Tata Steel signs definitive agreement with Liberty House Group|2.43 pm
10 Jul 2017|Tata Steel's Noamundi first iron ore mine with solar plant|3.58 pm
07 Jul 2017|Tata Steel launches preventive measures against dengue|1.11 pm
03 Jul 2017|Workers reject junior partner role for Thyssenkrupp in Tata JV|3.26 pm
03 Jul 2017|Tata Steel: Updates on production, sales data|10.36 am
03 Jul 2017|Thyssenkrupp wants less than 50 percent of Tata steel JV: Report|8.50 am
02 Jul 2017|UK mulls pension loophole fix to help Tata Steel: Report|5.53 pm
29 Jun 2017|Buy Tata Steel, HDFC, Axis Bank: Yogesh Mehta|3.52 pm
29 Jun 2017|Buy India Cements, Bharti Airtel, ICICI Prudential; sell IGL: Mitessh Thakkar|9.45 am
29 Jun 2017|Time to enter quality bets; Top 3 stocks which could give up to 23% return in 6 months|8.48 am
28 Jun 2017|Buy Tata Steel, says Sandeep Wagle|3.50 pm
27 Jun 2017|JP Morgan positive on steel sector; sees upside in Tata Steel, JSW Steel|1.08 pm
23 Jun 2017|Steel prices to fall further; Tata Steel, SAIL, JSW Steel to underperform: Jefferies|2.42 pm
22 Jun 2017|Thyssenkrupp signals steel merger decision by end Sept: Head of works council|9.54 pm
20 Jun 2017|Bull's Eye: Buy Tata Steel, Colgate, NCC, Allahabad Bank; sell Voltas|7.54 am
19 Jun 2017|Buy Tata Steel, Tata Elxsi: Sandeep Wagle|2.54 pm
19 Jun 2017|Buy, Sell, Hold: 8 stocks and 2 sectors are being tracked by analysts today|8.56 am
19 Jun 2017|Tata Steel proposes to sell 8.36 crore equity shares of Tata Motors to Tata Sons|8.45 am
17 Jun 2017|Tata Sons to buy Tata Steel stake in Tata Motors on or after June 23|1.36 pm
09 Jun 2017|Tata Steel looks strong, target Rs 560 in 2 months; hold Vimta Labs: Pankaj Jain|3.46 pm
08 Jun 2017|Buy Tata Steel; sell GAIL India, ONGC: Ashwani Gujral|2.10 pm
02 Jun 2017|Sell Tata Steel, HDIL; buy Balrampur Chini: Ashwani Gujral|12.24 pm
 25 May 2017|FII betting on leverage play! Top 10 stocks which have given up to 120% return in last 1 year|7.39 am
24 May 2017|Bull's Eye: Buy Tata Steel, Concor, Siemens, Polaris; sell Bharti Infratel|7.54 am
22 May 2017|Buy Tata Steel; target of Rs 550: ICICI Direct|3.29 pm
19 May 2017|Buy Tata Steel; target of Rs 650: Edelweiss|3.34 pm
17 May 2017|To pursue aggressive India growth; focus on domestic expansions in FY18: Tata Steel|4.57 pm
17 May 2017|Thyssenkrupp labour boss affirms opposition to Tata merger|1.01 pm
17 May 2017|What lies ahead for Tata Steel?|11.22 am
17 May 2017|Video: Go India Advisors' Rakesh Arora on Tata Steel & JSW Steel|10.41 am
17 May 2017|Here are some fundamental trading ideas from SP Tulsian|9.27 am
16 May 2017|Stellar operating performance helps Tata Steel narrow consolidated net loss to Rs 1,168 cr|7.26 pm
16 May 2017|Remain invested in Tata Steel, target Rs 550: Sharmila Joshi|3.29 pm
15 May 2017|Tata Steel’s Q4 net profit seen at Rs 1,000 cr; revenue at Rs 31,850 cr|5.24 pm
12 May 2017|Tata Steel's Joda East Iron Mine gets award|5.09 pm
08 May 2017|Tata Steel's board meeting on May 16, 2017.|9.44 pm
04 May 2017|Tata Steel hails new steel policy, says it will help cut cost|4.19 pm
04 May 2017|Thyssenkrupp steelworkers protest against Tata merger plan|8.36 am
02 May 2017|Tata Steel UK completes sale of speciality steel business|4.18 pm
02 May 2017|Liberty House to add 300 new UK steel jobs, invest 20 million pounds|3.22 pm
21 Apr 2017|Tata Steel board approves raising Rs 9,000 cr via debt securities|8.45 am
19 Apr 2017|Cash flows to improve, help pare debt; big expenditures done with: Tata Steel|3.35 pm
19 Apr 2017|Sell Tata Steel, Bharat Financial, Arvind; buy ﻿EIH, Kesoram Industries: Ashwani Gujral|9.52 am
17 Apr 2017|Buy Tata Steel, Escorts, REC; HDFC may test Rs 1700, IOC Rs 475: Ashwani Gujral|11.30 am
07 Apr 2017|Buy IDFC 57.50 Call, Tata Elxsi 1600 Call: VK Sharma|11.46 am
01 Apr 2017|Tata Steel Q4 production up 24% at 3 MT|6.48 pm
29 Mar 2017|Tata Steel appoints Aman Mehta as additional director|11.12 pm
29 Mar 2017|Tata Steel board clears appointment of 2 independent directors|10.21 pm
27 Mar 2017|Sell Tata Steel, Tech Mahindra; buy Petronet LNG: Ashwani Gujral|3.39 pm
22 Mar 2017|We should encourage investment & skill development in steel sector: Tata Steel's MD|2.23 pm
22 Mar 2017|Short Tata Steel, Colgate Palmolive; buy HCL Infosystems, HUL: Prakash Gaba|10.31 am
17 Mar 2017|HDFC may hit Rs 1600, JSW Steel can head to Rs 230;  buy Jet Airways: Ashwani Gujral|12.02 pm
17 Mar 2017|Buy, sell, hold: Analysts have these 8 stocks on their radar today|9.04 am
16 Mar 2017|Buy Tata Steel, India Cements, Tata Chemicals: Ashwani Gujral|12.11 pm
10 Mar 2017|Buy Tata Steel 480 Put, sell 450 Put: Krish Subramanyam|4.30 pm
08 Mar 2017|Tata Steel UK closes pension scheme to new accrual|7.44 am
07 Mar 2017|Tata Steel UK closes pension plan to new accruals from March 31|10.26 pm
07 Mar 2017|Buy Petronet LNG Futures, Jet Airways: Gaurav Bissa|12.56 pm
07 Mar 2017|Tata Motors looks good, Tata Steel weak: Prakash Gaba|11.59 am
06 Mar 2017|Short Tata Steel below Rs 490: Mitessh Thakkar|4.08 pm
06 Mar 2017|In constructive discussions with Thyssenkrupp: Tata Steel|3.52 pm
05 Mar 2017|Tata Steel may scrap merger plans with Thyssenkrupp: Report|6.10 pm
03 Mar 2017|Positive on Bharti Infratel and Apollo Hospitals: Tulsian|8.23 pm
03 Mar 2017|Tata Sons may buy out cross-holding stake in group cos: Sources|4.45 pm
03 Mar 2017|Buy Tata Steel, Colgate Palmolive: Mitessh Thakkar|3.24 pm
03 Mar 2017|Thyssenkrupp eyes Plan B for European steel: Report|1.02 pm
02 Mar 2017|Buy Mahindra and Mahindra, Infosys, Sun Pharma: VK Sharma|11.25 am
01 Mar 2017|Buy Tata Steel, Motherson Sumi, IB Real Estate: Sandeep Wagle|2.56 pm
01 Mar 2017|Buy Tata Steel, sell Shriram Transport Finance: Mitessh Thakkar|2.43 pm
28 Feb 2017|Tata Steel's Odisha ferro-chrome plant starts production|1.50 pm
28 Feb 2017|Tata Steel: Production starts at Gopalpur plant|12.08 pm
27 Feb 2017|LIC to hold media briefing on Q3 show -- a first for the insurer|9.59 am
24 Feb 2017|Tata Steel gets EC for Haldia coke plant expansion|2.28 pm
21 Feb 2017|Tata Steel Kalinganagar hot metal production crosses 2 MT mark|6.44 pm
21 Feb 2017|Chandrasekaran faces uphill task as Tata Sons boss. Is he ready?|9.14 am
20 Feb 2017|Buy Power Grid, LIC Housing Finance, Tata Steel: Sandeep Wagle|3.16 pm
20 Feb 2017|Maruti Suzuki looks good, go long in Tata Steel: Prakash Gaba|3.09 pm
20 Feb 2017|Buy Tata Steel, Jet Airways: Ashwani Gujral|2.49 pm
20 Feb 2017|Coal imports decline by 22% to 14 MT in January|8.58 am
18 Feb 2017|Tata Steel explores Myanmar, Bangladesh retail products|4.14 pm
16 Feb 2017|Buy Tata Steel; target of Rs 637: Edelweiss|1.48 pm
16 Feb 2017|Tata calls upon fellow industrialists to invest in Jharkhand|1.00 pm
16 Feb 2017|Buy Hexaware, Godrej Consumer; sell EIL, Tata Steel: Sukhani|9.33 am
16 Feb 2017|Tata Steel unveils UK's biggest robotic welding line|8.54 am
16 Feb 2017|UK workers back Tata Steel rescue plan|8.54 am
15 Feb 2017|Tata Steel workers okay pension reforms despite reduced benefits|8.31 pm
15 Feb 2017|Here is why SP Tulsian is 'extremely positive' on Grasim|5.39 pm
15 Feb 2017|Sell Tata Steel; target of Rs 410: Centrum|3.01 pm
14 Feb 2017|Buy Hindalco, Vedanta, Tata Steel, DLF on dips: Ashwani Gujral|11.34 am
13 Feb 2017|De-stocking of Tata Tea led to small impact in Nov: Tata Global|5.40 pm
13 Feb 2017|Tata Steel, Thyssenkrupp merger talks face extensive delays|4.22 pm
11 Feb 2017|Hold Tata Steel; target of Rs 500: ICICI Direct|2.41 pm
10 Feb 2017|Buy Sun TV, BoI, DHFL, BEML, Bajaj Electricals: Ashwani Gujral|11.16 am
10 Feb 2017|Buy, sell, hold: 8 stocks to watch out post Q3 results|9.51 am
10 Feb 2017|Eight Tata companies to display defence, aerospace expertise|9.44 am
09 Feb 2017|Liberty House expects a leg up from Tata Steel's specialty biz|9.37 pm
09 Feb 2017|Tech Mahindra can climb to Rs 490: Prakash Gaba|2.56 pm
09 Feb 2017|Buy Granules India, Tata Comm, Tata Global, EIL: Ashwani Gujral|9.30 am
08 Feb 2017|Sell Tata Steel; target of Rs 401: Motilal Oswal|3.09 pm
08 Feb 2017|Buy Tata Steel, Hindalco Industries on dips: Ashwani Gujral|11.43 am
08 Feb 2017|Buy, sell, hold: 7 stocks to watch out post Q3 results|9.33 am
07 Feb 2017|N Chandrasekaran elected as Chairman of Tata Steel Board|9.54 pm
07 Feb 2017|AirAsia India picks Tata Power's Deepak Mahendra as CFO|7.32 pm
07 Feb 2017|Tata Steel: Outcome of board meeting|6.50 pm
07 Feb 2017|Tata Steel turns corner, Q3 net at Rs 232cr; India biz grows 39%|5.16 pm
06 Feb 2017|Suit by Tata Group minority shareholders adjourned to March 7|9.50 pm
06 Feb 2017|Tata Steel Q3 profit seen at Rs 100cr, EBITDA may grow 300%|5.49 pm
06 Feb 2017|A first in 16 months: More debt upgrades than downgrades|9.29 am
02 Feb 2017|Ashok Leyland can climb to Rs 98, Tata Steel Rs 490: Gaba|3.13 pm
30 Jan 2017|Tata Steel workers begin voting on UK plant rescue|7.10 pm
30 Jan 2017|Tata Steel's board meeting on February 07, 2017|12.20 pm
30 Jan 2017|Sell Tata Steel; buy Arvind, Tata Comm: Ashwani Gujral|11.46 am
27 Jan 2017|Thyssen asks Tata Steel to find solution for UK pension issue|4.22 pm
27 Jan 2017|Thyssenkrupp CEO says solution for steel business will take time|12.05 pm
27 Jan 2017|Tata Steel to increase capacity of Kalinganagar plant|8.40 am
27 Jan 2017|Tata Steel's UK pensions trustee warns deficit to surge|8.18 am
25 Jan 2017|Tata Steel to take 51% stake of Creative Port Development|3.14 pm
25 Jan 2017|Budget 2017: Investments in R&D is necessary, says Tata Steel's Chatterjee|3.06 pm
25 Jan 2017|Tata Steel to acquire 51% equity shares of Creative Port Development|1.25 pm
25 Jan 2017|Tata Steel aims 20% revenue from service, solutions business|1.20 pm
25 Jan 2017|Steel cos raise product prices by 3-8%, but dealers still hurt|10.47 am
24 Jan 2017|Tata Sponge Iron Dec quarter net jumps 2-fold at Rs 11 cr|10.48 pm
24 Jan 2017|Tata Metaliks profit decline 25 pc to Rs 19.6 cr in Oct-Dec|9.02 pm
23 Jan 2017|Tata Steel order to help improve margins: North Eastern Carrying|3.55 pm
22 Jan 2017|Steel cos seek removal of import duty, cess on coking coal|11.02 am
19 Jan 2017|Care Ratings downgrades Tata Steel's credit rating|5.20 pm
18 Jan 2017|UK financier renews offer to take over Tata Steel pension plan|8.16 pm
18 Jan 2017|India to be net exporter; optimistic of 2017 growth: Tata Steel|5.21 pm
18 Jan 2017|Buy NTPC, Tata Steel, Power Grid: Sudarshan Sukhani|10.52 am
17 Jan 2017|Tata Steel Q3 PAT seen flat at Rs 370 cr: Religare|12.34 pm
16 Jan 2017|Tata Steel's Noamundi iron mine conducts pilot launch of DAMM|8.12 pm
16 Jan 2017|Buy HDIL, Tata Steel, Havells India: Sandeep Wagle|2.51 pm
16 Jan 2017|Buy Tata Steel, Havells India: Sandeep Wagle|2.49 pm
16 Jan 2017|Buy Tata Steel, NBCC, PC Jeweller: Ashwani Gujral|12.58 pm
16 Jan 2017|Tata Steel's Sukinda Chromite Mine bags 5 awards from IBM|8.38 am
14 Jan 2017|Tata Steel to pay millions into UK pension fund: Report|10.00 am
14 Jan 2017|Chandrasekaran appointed additional director on Tata Steel board|9.30 am
13 Jan 2017|Tata Steel offers to pay millions for pension scheme revamp|2.48 pm
12 Jan 2017|Tata Group should have appointed an outsider as Chairman: Pai|9.59 pm
12 Jan 2017|See upside in metal stocks, says Neeraj Deewan|5.06 pm
12 Jan 2017|Buy JSW Steel, Tata Steel, Hindalco, Vedanta on dips: Gujral|9.40 am
11 Jan 2017|Here are SP Tulsian's top trading ideas|10.53 am
11 Jan 2017|Axis Bank to underperform: Ashwani Gujral|10.00 am
11 Jan 2017|IndusInd Bank attractive buying opportunity: Sudarshan Sukhani|10.00 am
09 Jan 2017|Tata Steel Q3 production up 28%|2.02 pm
07 Jan 2017|Tata Steel inaugurates CRM complex BARA phase II|8.47 am
06 Jan 2017|Sebi seeks explanation from 3 Tata Group companies|11.22 am
05 Jan 2017|Tata Steel inaugurates Phase II of CRM Bara unit|8.04 pm
05 Jan 2017|Buy Tata Steel, Adani Ports, Yes Bank: Ashwani Gujral|2.53 pm
05 Jan 2017|Sell HDFC; buy Tata Motors, Tata Steel: Ashwani Gujral|11.00 am
02 Jan 2017|Buy Tata Motors, Shriram Transport, Tata Steel: Ashwani Gujral|2.57 pm
01 Jan 2017|Tata Steel hopes to get back normalcy soon|5.24 pm
30 Dec 2016|Banks will underperform, metals will continue to rise: Gujral|9.38 am
28 Dec 2016|Tata Steel seeks foreign investment for SEZ project in Odisha|8.00 pm
28 Dec 2016|Buy CESC, Indian Oil Corporation; sell Tata Steel: Yogesh Mehta|1.12 pm
27 Dec 2016|Demonetisation has hit business: Tata Steel|8.14 pm
27 Dec 2016|Sell TVS Motor Company, IRB Infrastructure: Mitesh Thacker|11.36 am
27 Dec 2016|Buy, sell, hold: 4 stocks that analysts are watching out|8.02 am
26 Dec 2016|Sell Tata Steel, Reliance Capital, Granules India: Gujral|3.08 pm
26 Dec 2016|Sell Tata Steel, buy Mindtree: Yogesh Mehta|9.10 am
23 Dec 2016|Ratan Tata says 'definite move' to damage his reputation|8.46 pm
23 Dec 2016|Wadia files defamation suit against Tata Sons, Ratan Tata|7.36 pm
23 Dec 2016|Tata Steel to acquire pellet maker BRPL for Rs 900 cr|7.08 pm
23 Dec 2016|Tata Steel executes agreements to acquire 100% equity shares of Brahmani River Pellets|2.11 pm
23 Dec 2016|Sell Tata Steel, Titan; buy Berger Paints above Rs 205: Thacker|10.57 am
23 Dec 2016|Now, Tata Motors shareholders remove Nusli Wadia from board|10.26 am
22 Dec 2016|Here is why SP Tulsian is bullish on Hindustan Zinc|10.08 pm
22 Dec 2016|Tata Steel shareholders vote to remove Wadia; all eyes on TaMo|8.22 am
21 Dec 2016|Sell Amara Raja, Siemens; buy MOIL, Fortis Health: Thacker|9.35 am
21 Dec 2016|Tata Steel's EGM to decide Nusli Wadia's fate today|8.40 am
20 Dec 2016|IHCL shareholders worry over Mistry taking battle to courts|4.08 pm
20 Dec 2016|Full text of Cyrus Mistry's resignation from Tata Group cos|8.47 am
20 Dec 2016|Nusli Wadia unlikely to back off from fighting Tatas|7.32 am
19 Dec 2016|Tata Grp EGMs futile as Mistry quits; Nusli Wadia next on agenda|10.27 pm
19 Dec 2016|Cyrus P. Mistry ceases to be Director of Tata Steel|9.54 pm
19 Dec 2016|Cyrus Mistry resigns from 6 listed Tata companies|7.15 pm
19 Dec 2016|Buy metal stocks on declines, says Ashwani Gujral|10.07 am
18 Dec 2016|4 Tata firms to vote on Mistry's removal as director this week|3.10 pm
16 Dec 2016|Led by Tata Motors, MFs hike holdings in Tata cos in Nov|7.38 pm
